Time,Susceptible,Exposed,Infected,Recovered/Vaccinated,Total Population
80,26723803.494884122,42401.158054492116,27107.13985528676,13202207.736256294,39977199.6833176
81,26579656.318116203,47244.03966541151,30290.968104100644,13337778.534239978,39973280.34468964
82,26435021.72348241,52607.851849449915,33828.76766853965,13472897.596665725,39968692.298259825
83,26289776.767600637,58544.49887735124,37757.352013212745,13607592.045943724,39963323.31238776
84,26143787.218386143,65110.50124906497,42117.03308269518,13741891.445009835,39957043.006122895
85,25996906.640768457,72367.32348442565,46951.907696098024,13875828.028454497,39949700.16668619
86,25848975.433427054,80381.71070511303,52310.16006999956,14009436.952181635,39941119.76369257
87,25699819.81878773,89226.03103058,58244.37994743766,14142756.562566295,39931099.66153165
88,25549250.789855644,98978.61989501945,64811.895459279214,14275828.686027832,39919407.04842457
89,25397063.01908627,109724.12134448708,72075.11936231189,14408698.939862186,39905774.624403074
90,25243033.73654457,121553.82007617943,80101.90668911125,14541417.065066911,39889896.62384661
91,25086921.5865492,134565.95686188244,88965.92125325877,14674037.281711578,39871424.79197561
92,24928465.474760685,148866.01821929455,98747.00774404171,14806618.667194834,39849964.49054286
93,24767383.422307283,164566.98813142994,109531.56467029438,14939225.557654995,39825071.1786915
94,24603371.444919795,181789.54984950638,121412.91276046884,15071927.972061442,39796247.598583035
95,24436102.48116668,200662.22114332241,134491.6518980141,15204802.058575258,39762942.08747282
96,24265225.397391178,221321.404973253,148875.9987472001,15337930.561846077,39724548.53923326
97,24090364.103876997,243911.33380838417,164682.09439084213,15471403.30964903,39680408.63014973
98,23911116.82110222,268583.8836935397,182034.27016806198,15605317.716435537,39629816.996380284
99,23727055.547444735,295498.22682489356,201065.25642016725,15739779.300077436,39572030.076679714
100,23537725.776605383,324820.29470766895,221916.31901509792,15874902.207792047,39506279.287631795
101,23342646.529358864,356722.01501989295,244737.30317951745,16010809.745654758,39431789.04778265
102,23141310.770434707,391380.28279738815,269686.5623149969,16147634.90469578,39347799.88457359
103,22933186.28879843,428975.6238477539,296930.7465990151,16285520.875126235,39253596.4275409
104,22717717.13370818,469690.50299014064,326644.42062509863,16424621.537737656,39148539.528831996
105,22494325.68851204,513707.2372814346,359009.4821348862,16565101.92155573,39032101.059166916
106,22262415.49180448,561205.4618946267,394214.3443892086,16707138.612475855,38903899.33268192
107,22021374.90814568,612359.1046134954,432452.8453836815,16850920.096420623,38763732.4457931
108,21770581.757638518,667332.8260629841,473922.8430605665,16996647.017330468,38611606.584782094
109,21509409.008167334,726277.8919944634,518824.4553688806,17144532.327673197,38447756.35050806
110,21237231.616757624,789327.4570349723,567357.9083584963,17294801.309097566,38272654.65883812
111,20953434.615983117,856591.2458238676,619720.9481660052,17447691.43419151,38087010.640902594
112,20657422.50373562,928149.6442765362,676105.7827790285,17603452.040895853,37891755.143975005
113,20348629.973272406,1004047.239844072,736695.5214730233,17762343.78593646,37688014.72641843
114,20026533.96656334,1084285.8819774704,801660.0961928624,17924637.84762316,37477076.17598224
115,19690666.996427026,1168817.3794210781,871151.651138764,18090614.84076225,37260344.448339745
116,19340631.633074787,1257535.9554002,945299.4257635092,18260563.41142184,37039297.324770495
117,18976115.93495268,1350270.718289584,1024204.1312545892,18434778.48263187,36815440.06830938
118,18596909.573341,1446778.3541074225,1107931.909562113,18613559.1164677,36590262.94115326
119,18202920.27656572,1546736.374892454,1196507.944512808,18797205.96983542,36365203.772184215
120,17794190.127772603,1649737.285371609,1289909.8470411093,18986018.32979728,36141617.00200685
121,17370911.186531134,1755284.0483204976,1388060.9789499834,19180290.71682213,35920749.859150976
122,16933439.77233012,1862787.3134525004,1490823.9030295955,19380309.063103255,35703725.675448895
123,16482308.738789894,1971564.818020428,1597994.2014807547,19586346.48214995,35491533.85229926
124,16018236.983111454,2080843.4093934773,1709294.920330384,19798658.66625627,35285025.672763646
125,15542135.45210166,2189764.059211869,1824371.9400831386,20017478.96484175,35084914.97711457
126,15055108.9367369,2297390.1716086236,1942790.5822762663,20243013.217503715,34891782.67411084
127,14558453.041678075,2402719.368213393,2064033.760655065,20475434.435854353,34706084.11416571
128,14053645.86642837,2504698.770238405,2187501.975241918,20714877.445605516,34528158.43623484
129,13542334.03489532,2602243.6481095566,2312515.451981625,20961433.635294612,34358239.13030815
130,13026313.197305093,2694259.0271298317,2438318.552887185,21215145.936903525,34196465.206113115
131,12507503.10205496,2779663.713300813,2564086.667871066,21476004.213266253,34042892.473277085
132,11987917.808725676,2857415.944093055,2688935.600600186,21743941.21525947,33897504.575389065
133,11469631.87949983,2926539.714457724,2811933.357111952,22018829.265667107,33760223.51033817
134,10954743.634995272,2986150.671389847,2932114.1593147325,22300477.822630767,33630919.46426825
135,10445336.766727306,3035480.439236908,3048494.353565506,22588632.057764024,33509419.849071685
136,9943441.748379817,3073898.2269438733,3160089.7809733134,22882972.556731377,33395517.491355136
137,9450998.539895691,3100928.6580993407,3265934.0787593494,23183116.21606433,33288977.958116986
138,8969822.030996365,3116264.9410958844,3365097.301629589,23488618.37250337,33189546.034402207
139,8501571.523921514,3119776.7384447013,3456704.210757359,23798976.159915086,33096951.39366689
140,8047725.345886248,3111512.363342087,3539951.5796204708,24113633.041540265,33010913.502748594
141,7609561.376736856,3091695.2637465913,3614123.890239956,24431984.42570827,32931145.82571789
142,7188143.950967317,3060715.0623384714,3678606.8629019917,24753384.233624227,32857359.38800952
143,6784317.261597628,3019113.6892607906,3732898.3712165556,25077152.25268865,32789265.759661704
144,6398705.048205397,2967567.4090758534,3776616.4049101877,25402582.085806865,32726579.525159698
145,6031716.072446011,2906865.69754524,3809503.8912932104,25728949.488846578,32669020.2952514
146,5683554.6517758975,2837888.0243350975,3831430.3272034754,26055520.88167551,32616314.317968484
147,5354235.35889777,2761579.621188057,3842390.309062004,26381561.821231965,32568195.74101644
148,5043600.902076801,2678927.2640368543,3842499.17653922,26706345.237073917,32524407.572287332
149,4751342.204720114,2590936.003483969,3831986.0587213417,27029159.24326515,32484702.38158106
150,4477019.671739135,2498607.584160963,3811184.7906351713,27349314.375739384,32448842.78243188
151,4220084.841232314,2402921.185406802,3780523.040819846,27666150.122940466,32416601.728055924
